state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,km_to_albury,km_to_austin,km_to_barwon,km_to_bendigo,km_to_monash,km_to_sunshine,km_to_northern,min_distance,closest_hosp,TravelDuration,TravelDuration_min
VIC,3355,Australia,Victoria,3355 Victoria Australia,-37.51595306,143.7964783,106.1252814,106.1252814,314.6217393,114.3695404,86.55815952,95.58753969,124.8846665,93.8722475,108.4104449,86.55815952,Barwon,4964,82.73333333
VIC,3373,Australia,Victoria,3373 Victoria Australia,-37.4644165,143.34021,146.4005767,146.4005767,348.2195341,154.869106,118.1268063,115.4575835,164.68735,134.1793174,149.0709135,115.4575835,Bendigo,6514,108.5666667
VIC,3377,Australia,Victoria,3377 Victoria Australia,-37.27268982,142.9489899,185.6916876,185.6916876,372.647489,193.7430958,158.3670764,132.0653674,204.461799,173.433197,187.1495539,132.0653674,Bendigo,8084,134.7333333
VIC,3393,Australia,Victoria,3393 Victoria Australia,-36.19365311,142.4207153,286.5110904,286.5110904,400.3284466,291.7745687,277.6360959,177.7036261,307.048635,274.9694239,281.9548323,177.7036261,Bendigo,12897,214.95
VIC,3400,Australia,Victoria,3400 Victoria Australia,-36.71892548,142.196228,271.4092133,271.4092133,424.0512408,278.4659673,249.1215387,186.0887009,291.0921038,259.2440531,270.4055893,186.0887009,Bendigo,11872,197.8666667
VIC,3401,Australia,Victoria,3401 Victoria Australia,-36.83584595,142.0990143,273.6679327,273.6679327,434.4767511,281.1437347,247.7680937,194.8103849,292.9810409,261.4351072,273.6006465,194.8103849,Bendigo,12362,206.0333333
VIC,3427,Australia,Victoria,3427 Victoria Australia,-37.62082291,144.6976318,29.3441161,29.3441161,255.0993277,35.22385947,65.77648224,103.6056046,49.96722428,18.61342365,28.13631492,18.61342365,Sunshine,1761,29.35
VIC,3428,Australia,Victoria,3428 Victoria Australia,-37.63524246,144.7910309,22.46914557,22.46914557,249.8943393,27.18932589,68.43979204,108.2666332,42.99770357,13.92832892,19.77936212,13.92832892,Sunshine,1496,24.93333333
VIC,3429,Australia,Victoria,3429 Victoria Australia,-37.54989624,144.7352753,33.02132477,33.02132477,247.5329115,36.63538134,74.31945145,97.5939392,53.39530723,24.32458283,27.15837927,24.32458283,Sunshine,2029,33.81666667
VIC,3431,Australia,Victoria,3431 Victoria Australia,-37.44458771,144.6829987,45.36088497,45.36088497,244.0644414,47.98972431,83.37355313,85.02607498,65.49180987,36.88730841,37.32590207,36.88730841,Sunshine,2687,44.78333333
VIC,3432,Australia,Victoria,3432 Victoria Australia,-37.4381218,144.776947,42.34808591,42.34808591,236.9776251,43.28165697,87.13649343,88.19215217,61.62141461,35.82951624,31.80651864,31.80651864,Northern,2676,44.6
VIC,3433,Australia,Victoria,3433 Victoria Australia,-37.4010582,144.7764587,46.23269631,46.23269631,234.5458216,46.74083111,90.88979525,84.62046419,65.26628346,39.93631113,35.04241869,35.04241869,Northern,2783,46.38333333
VIC,3434,Australia,Victoria,3434 Victoria Australia,-37.35160828,144.7471466,52.28149494,52.28149494,233.4495878,52.77991704,95.02687372,78.5781477,71.33972639,45.69369517,41.01642234,41.01642234,Northern,2934,48.9
VIC,3435,Australia,Victoria,3435 Victoria Australia,-37.22645187,144.7385254,65.74863479,65.74863479,226.4293853,65.39726242,107.9368196,66.66590929,84.24527637,59.59629369,53.36186127,53.36186127,Northern,3470,57.83333333
VIC,3437,Australia,Victoria,3437 Victoria Australia,-37.50160217,144.5466919,48.09908755,48.09908755,257.5289924,53.30948002,73.96622676,86.83561826,68.73222101,37.23337343,44.54763728,37.23337343,Sunshine,2653,44.21666667
VIC,3438,Australia,Victoria,3438 Victoria Australia,-37.45238495,144.6152496,48.03284316,48.03284316,249.4263418,51.71775666,80.74282699,83.51746707,68.5043732,38.44352219,41.69365841,38.44352219,Sunshine,2385,39.75
VIC,3440,Australia,Victoria,3440 Victoria Australia,-37.42847443,144.5558624,53.40365989,53.40365989,252.2174712,57.43661145,82.08832912,79.27865256,73.95941254,43.35994417,47.54716703,43.35994417,Sunshine,2392,39.86666667
VIC,3441,Australia,Victoria,3441 Victoria Australia,-37.39297104,144.5931854,54.50725562,54.50725562,247.2768405,57.64215575,86.65493853,76.65021041,74.85340017,45.22173271,47.10772421,45.22173271,Sunshine,2601,43.35
VIC,3442,Australia,Victoria,3442 Victoria Australia,-37.33278656,144.5519257,62.08536593,62.08536593,246.6954354,64.97868709,92.47157742,69.10224799,82.37773101,52.83545051,54.18934725,52.83545051,Sunshine,2703,45.05
VIC,3444,Australia,Victoria,3444 Victoria Australia,-37.13553238,144.5282745,82.0795231,82.0795231,237.645179,83.4723452,113.8485807,48.12137162,101.7639986,73.85179612,71.83984525,48.12137162,Bendigo,3709,61.81666667
